antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'neuroscience'}),frozenset({'cognitive'}),0.10434782608695652,0.10434782608695652,0.08695652173913043,0.8333333333333334,7.986111111111112,0.07606805293005671,5.373913043478263
frozenset({'cognitive'}),frozenset({'neuroscience'}),0.10434782608695652,0.10434782608695652,0.08695652173913043,0.8333333333333334,7.986111111111112,0.07606805293005671,5.373913043478263
frozenset({'sustainable'}),frozenset({'sustainability'}),0.06956521739130435,0.06086956521739131,0.05217391304347826,0.75,12.321428571428571,0.047939508506616255,3.756521739130435
frozenset({'sustainability'}),frozenset({'sustainable'}),0.06086956521739131,0.06956521739130435,0.05217391304347826,0.8571428571428571,12.321428571428571,0.047939508506616255,6.513043478260867
