antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'mastertracks'}),frozenset({'lecture'}),0.0660377358490566,0.16037735849056603,0.0660377358490566,1.0,6.235294117647059,0.05544677821288715,inf
frozenset({'semester'}),frozenset({'lecture'}),0.07547169811320754,0.16037735849056603,0.07547169811320754,1.0,6.235294117647059,0.06336774652901388,inf
frozenset({'thesis'}),frozenset({'lecture'}),0.09433962264150944,0.16037735849056603,0.08490566037735849,0.8999999999999999,5.6117647058823525,0.06977572089711641,8.396226415094333
frozenset({'semester'}),frozenset({'mastertracks'}),0.07547169811320754,0.0660377358490566,0.0660377358490566,0.875,13.25,0.06105375578497686,7.471698113207547
frozenset({'mastertracks'}),frozenset({'semester'}),0.0660377358490566,0.07547169811320754,0.0660377358490566,1.0,13.25,0.06105375578497686,inf
frozenset({'mastertracks'}),frozenset({'student'}),0.0660377358490566,0.20754716981132076,0.0660377358490566,1.0,4.818181818181818,0.05233179067283731,inf
frozenset({'mastertracks'}),frozenset({'thesis'}),0.0660377358490566,0.09433962264150944,0.0660377358490566,1.0,10.6,0.05980776076895692,inf
frozenset({'thesis'}),frozenset({'mastertracks'}),0.09433962264150944,0.0660377358490566,0.0660377358490566,0.7,10.6,0.05980776076895692,3.113207547169811
frozenset({'semester'}),frozenset({'student'}),0.07547169811320754,0.20754716981132076,0.0660377358490566,0.875,4.215909090909091,0.05037379850480598,6.339622641509434
frozenset({'semester'}),frozenset({'thesis'}),0.07547169811320754,0.09433962264150944,0.0660377358490566,0.875,9.274999999999999,0.05891776432894268,7.245283018867925
frozenset({'thesis'}),frozenset({'semester'}),0.09433962264150944,0.07547169811320754,0.0660377358490566,0.7,9.275,0.05891776432894268,3.081761006289308
frozenset({'thesis'}),frozenset({'student'}),0.09433962264150944,0.20754716981132076,0.0660377358490566,0.7,3.3727272727272726,0.046457814168743325,2.641509433962264
"frozenset({'semester', 'mastertracks'})",frozenset({'lecture'}),0.0660377358490566,0.16037735849056603,0.0660377358490566,1.0,6.235294117647059,0.05544677821288715,inf
"frozenset({'semester', 'lecture'})",frozenset({'mastertracks'}),0.07547169811320754,0.0660377358490566,0.0660377358490566,0.875,13.25,0.06105375578497686,7.471698113207547
"frozenset({'mastertracks', 'lecture'})",frozenset({'semester'}),0.0660377358490566,0.07547169811320754,0.0660377358490566,1.0,13.25,0.06105375578497686,inf
frozenset({'semester'}),"frozenset({'mastertracks', 'lecture'})",0.07547169811320754,0.0660377358490566,0.0660377358490566,0.875,13.25,0.06105375578497686,7.471698113207547
frozenset({'mastertracks'}),"frozenset({'semester', 'lecture'})",0.0660377358490566,0.07547169811320754,0.0660377358490566,1.0,13.25,0.06105375578497686,inf
"frozenset({'student', 'mastertracks'})",frozenset({'lecture'}),0.0660377358490566,0.16037735849056603,0.0660377358490566,1.0,6.235294117647059,0.05544677821288715,inf
"frozenset({'student', 'lecture'})",frozenset({'mastertracks'}),0.08490566037735849,0.0660377358490566,0.0660377358490566,0.7777777777777778,11.777777777777779,0.060430758276966895,4.202830188679245
"frozenset({'mastertracks', 'lecture'})",frozenset({'student'}),0.0660377358490566,0.20754716981132076,0.0660377358490566,1.0,4.818181818181818,0.05233179067283731,inf
frozenset({'mastertracks'}),"frozenset({'student', 'lecture'})",0.0660377358490566,0.08490566037735849,0.0660377358490566,1.0,11.777777777777779,0.060430758276966895,inf
"frozenset({'mastertracks', 'thesis'})",frozenset({'lecture'}),0.0660377358490566,0.16037735849056603,0.0660377358490566,1.0,6.235294117647059,0.05544677821288715,inf
"frozenset({'mastertracks', 'lecture'})",frozenset({'thesis'}),0.0660377358490566,0.09433962264150944,0.0660377358490566,1.0,10.6,0.05980776076895692,inf
"frozenset({'thesis', 'lecture'})",frozenset({'mastertracks'}),0.08490566037735849,0.0660377358490566,0.0660377358490566,0.7777777777777778,11.777777777777779,0.060430758276966895,4.202830188679245
frozenset({'mastertracks'}),"frozenset({'thesis', 'lecture'})",0.0660377358490566,0.08490566037735849,0.0660377358490566,1.0,11.777777777777779,0.060430758276966895,inf
frozenset({'thesis'}),"frozenset({'mastertracks', 'lecture'})",0.09433962264150944,0.0660377358490566,0.0660377358490566,0.7,10.6,0.05980776076895692,3.113207547169811
"frozenset({'semester', 'student'})",frozenset({'lecture'}),0.0660377358490566,0.16037735849056603,0.0660377358490566,1.0,6.235294117647059,0.05544677821288715,inf
"frozenset({'semester', 'lecture'})",frozenset({'student'}),0.07547169811320754,0.20754716981132076,0.0660377358490566,0.875,4.215909090909091,0.05037379850480598,6.339622641509434
